"AppID","AppName","Publisher"
"7Zip.7Zip","7-Zip","Igor Pavlov"
"Mozilla.Firefox","Mozilla Firefox","Mozilla"
"Zoom.Zoom","Zoom","Zoom"
"Zoom.Zoom","Zoom (Machine Install)","Zoom"
"Docker.DockerDesktop","Docker Desktop","Docker Inc."
"Microsoft.VisualStudioCode","Microsoft Visual Studio Code","Microsoft Corporation"
"OpenJS.NodeJS","Node.js","Node.js Foundation"
"Discord.Discord","Discord","Discord Inc."
"Adobe.Acrobat.Reader.64-bit","Adobe Acrobat Reader DC (64-bit)","Adobe"
"Oracle.JavaRuntimeEnvironment","Java 8","Oracle Corporation"
"Google.GoogelDrive","Google Drive","Google LLC"
"Notepad++.Notepad++","Notepad++","Notepad++ Team"
"Git.Git","Git","The Git Development Community"
"RStudio.RStudio.OpenSource","RStudio Desktop Open Source Edition","RStudio"
"PuTTY.PuTTY","PuTTY","Simon Tatham"
"RARLab.WinRAR","WinRAR","win.rar GmbH"
"Malwarebytes.Malwarebytes","Malwarebytes","Malwarebytes"
"Foxit.FoxitReader","Foxit PDF Reader","Foxit Software Inc."
"Citrix.Workspace","Citrix Workspace","Citrix Systems, Inc."
"Postman.Postman","Postman","Postman"
"TeamViewer.TeamViewer","TeamViewer","TeamViewer"
"Piriform.CCleaner","CCleaner","Piriform"
"GIMP.GIMP","GIMP","The GIMP Team"
"AutoHotkey.AutoHotkey","AutoHotkey","Lexikos"
"SumatraPDF.SumatraPDF","SumatraPDF","Krzysztof Kowalczyk"
"WinSCP.WinSCP","WinSCP","Martin Prikryl"
"Amazon.AWSCLI","AWS Command Line Interface","Amazon Web Services"
"Inkscape.Inkscape","Inkscape","Inkscape"
"SlackTechnologies.Slack","Slack","Slack Technologies Inc."
"WiresharkFoundation.Wireshark","Wireshark","The Wireshark developer community, https://www.wireshark.org/"
"StrawberryPerl.StrawberryPerl","Strawberry Perl","strawberryperl.com project"
"Oracle.VirtualBox","Oracle VM VirtualBox","Oracle Corporation"
"Kitware.CMake","CMake","Kitware"
